"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 06 15:46:49 MSK 2026","Sun Sep 06 15:46:51 MSK 2026","1909","","tests.LoginUserTest","","tests.LoginUserTest","shouldLoginExistingUser","Логин под существующим пользователем возвращает 200 и токены",""
"passed","Sun Sep 06 15:46:53 MSK 2026","Sun Sep 06 15:46:54 MSK 2026","413","","tests.UpdateUserTest","","tests.UpdateUserTest","shouldNotUpdateWithoutAuth","Обновление данных без авторизации возвращает 401",""
"passed","Sun Sep 06 15:46:57 MSK 2026","Sun Sep 06 15:46:58 MSK 2026","419","","tests.CreateOrderTest","","tests.CreateOrderTest","shouldNotCreateOrderWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиента возвращает 500",""
"passed","Sun Sep 06 15:47:00 MSK 2026","Sun Sep 06 15:47:01 MSK 2026","366","","tests.CreateOrderTest","","tests.CreateOrderTest","shouldCreateOrderWithoutAuth","Создание заказа без авторизации возвращает 200",""
"passed","Sun Sep 06 15:46:57 MSK 2026","Sun Sep 06 15:46:57 MSK 2026","399","","tests.RegisterUserTest","","tests.RegisterUserTest","shouldRegisterUniqueUser","Регистрация уникального пользователя возвращает 200 и данные пользователя",""
"passed","Sun Sep 06 15:46:51 MSK 2026","Sun Sep 06 15:46:52 MSK 2026","461","","tests.LoginUserTest","","tests.LoginUserTest","shouldNotLoginWithWrongPassword","Логин с неверным паролем возвращает 401",""
"passed","Sun Sep 06 15:47:00 MSK 2026","Sun Sep 06 15:47:00 MSK 2026","413","","tests.CreateOrderTest","","tests.CreateOrderTest","shouldNotCreateOrderWithoutIngredients","Создание заказа без ингредиентов возвращает 400",""
"passed","Sun Sep 06 15:46:59 MSK 2026","Sun Sep 06 15:47:00 MSK 2026","1086","","tests.CreateOrderTest","","tests.CreateOrderTest","shouldCreateOrderWithAuth","Создание заказа с авторизацией привязывает заказ к пользователю",""
"passed","Sun Sep 06 15:46:56 MSK 2026","Sun Sep 06 15:46:57 MSK 2026","357","","tests.RegisterUserTest","","tests.RegisterUserTest","shouldNotRegisterExistingUser","Повторная регистрация с тем же email возвращает 403",""
"passed","Sun Sep 06 15:46:58 MSK 2026","Sun Sep 06 15:46:59 MSK 2026","1108","","tests.CreateOrderTest","","tests.CreateOrderTest","shouldCreateOrderWithIngredients","Создание заказа с ингредиентами возвращает заказ с тем же количеством ингредиентов",""
"passed","Sun Sep 06 15:46:54 MSK 2026","Sun Sep 06 15:46:55 MSK 2026","1346","","tests.GetUserOrdersTest","","tests.GetUserOrdersTest","shouldNotGetOrdersForUnauthorizedUser","Получение заказов неавторизованным пользователем возвращает 401",""
"passed","Sun Sep 06 15:46:52 MSK 2026","Sun Sep 06 15:46:53 MSK 2026","431","","tests.UpdateUserTest","","tests.UpdateUserTest","shouldUpdateEmailWithAuth","Обновление email с авторизацией возвращает 200 и новый email",""
"passed","Sun Sep 06 15:46:52 MSK 2026","Sun Sep 06 15:46:52 MSK 2026","376","","tests.UpdateUserTest","","tests.UpdateUserTest","shouldUpdateNameWithAuth","Обновление имени с авторизацией возвращает 200 и новое имя",""
"passed","Sun Sep 06 15:46:53 MSK 2026","Sun Sep 06 15:46:53 MSK 2026","736","","tests.UpdateUserTest","","tests.UpdateUserTest","shouldUpdatePasswordWithAuth","Обновление пароля с авторизацией позволяет войти с новым паролем",""
"passed","Sun Sep 06 15:46:57 MSK 2026","Sun Sep 06 15:46:57 MSK 2026","60","","tests.RegisterUserTest","","tests.RegisterUserTest","shouldNotRegisterWithoutRequiredField","Регистрация без обязательного поля password возвращает 403",""
"passed","Sun Sep 06 15:46:55 MSK 2026","Sun Sep 06 15:46:56 MSK 2026","1247","","tests.GetUserOrdersTest","","tests.GetUserOrdersTest","shouldGetOrdersForAuthorizedUser","Получение заказов авторизованным пользователем возвращает 200 и список заказов",""
